Date,hospitalizations
6/1/2020,1148
6/2/2020,1113
6/3/2020,1096
6/4/2020,1076
6/5/2020,1059
6/6/2020,1003
6/7/2020,979
6/8/2020,970
6/9/2020,955
6/10/2020,902
6/11/2020,836
6/12/2020,799
6/13/2020,751
6/14/2020,745
6/15/2020,742
6/16/2020,702
6/17/2020,660
6/18/2020,648
6/19/2020,644
6/20/2020,608
6/21/2020,602
6/22/2020,561
6/23/2020,544
6/24/2020,511
6/25/2020,487
6/26/2020,478
6/27/2020,446
6/28/2020,447
6/29/2020,452
6/30/2020,461
7/1/2020,441
7/2/2020,422
7/3/2020,410
7/4/2020,409
7/5/2020,403
7/6/2020,404
7/7/2020,398
7/8/2020,406
7/9/2020,385
7/10/2020,390
7/11/2020,392
7/12/2020,386
7/13/2020,415
7/14/2020,447
7/15/2020,436
7/16/2020,434
7/17/2020,448
7/18/2020,449
7/19/2020,463
7/20/2020,484
7/21/2020,505
7/22/2020,528
7/23/2020,533
7/24/2020,545
7/25/2020,540
7/26/2020,536
7/27/2020,542
7/28/2020,571
7/29/2020,585
7/30/2020,590
7/31/2020,592
8/1/2020,553
8/2/2020,548
8/3/2020,547
8/4/2020,555
8/5/2020,535
8/6/2020,528
8/7/2020,515
8/8/2020,525
8/9/2020,534
8/10/2020,529
8/11/2020,488
8/12/2020,470
8/13/2020,457
8/14/2020,460
8/15/2020,475
8/16/2020,435
8/17/2020,453
8/18/2020,475
8/19/2020,455
8/20/2020,455
8/21/2020,441
8/22/2020,407
8/23/2020,407
8/24/2020,411
8/25/2020,432
8/26/2020,412
8/27/2020,412
8/28/2020,387
8/29/2020,358
8/30/2020,377
8/31/2020,385
9/1/2020,370
9/2/2020,382
9/3/2020,395
