InterventionName,type,SchoolCloseDate,SchoolCloseReductionPer,SchoolOpenDate,SchoolOpenReductionAmt,InterventionStartReductionDate,InterventionReductionPerMin,InterventionReductionPerMax,InterventionReductionPerLowMin,InterventionReductionPerLowMax,InterventionStartReductionDateCalcDays,InterventionStartEndLift,InterventionStartEndLiftCalcDays,InterventionEndPerIncrease,InterventionMobilityEffect,QuarantineType,PerFollowQuarantine,QuarantineStartDate,TestingAvailabilityDateHosp,TestingAvailabilityDateComm,finaldate,ContactTracing,testExtra,TimeToFindContactsLow,TimeToFindContactsHigh,UseCountyLevel,CountyEncountersFile,AdjustPopDensity,TestIncreaseLow,TestIncreaseHigh,Seasonality,OldAgeRestriction,OldAgeReduction
distance.Distance50SlowSchool,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,12/31/2020,0.5,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0,1,0.25
distance.Distance40SlowSchool,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,12/31/2020,0.4,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0,1,0.25
distance.Distance30SlowSchool,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,12/31/2020,0.3,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0,1,0.25
distance.Distance20SlowSchool,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,12/31/2020,0.2,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0,1,0.25
distance.Distance10SlowSchool,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,12/31/2020,0.1,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0,1,0.25
distance.Distance05SlowSchool,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,12/31/2020,0.05,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0,1,0.25
distance.Distance50FastSchool,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,10/31/2020,0.5,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0,1,0.25
distance.Distance40FastSchool,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,10/31/2020,0.4,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0,1,0.25
distance.Distance30FastSchool,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,10/31/2020,0.3,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0,1,0.25
distance.Distance20FastSchool,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,10/31/2020,0.2,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0,1,0.25
distance.Distance10FastSchool,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,10/31/2020,0.1,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0,1,0.25
distance.Distance05FastSchool,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,10/31/2020,0.05,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0,1,0.25
